Corpus 1,Corpus 2,value
NatiFrid,51JYvsb1i7LDjyW,0.5447694222924888
lion7053,NacShaul,0.5449659927982934
slinkysown68849,avar14700079,0.5450815137006697
EpsteinBarr7,AmnonShulman,0.5450827052053117
anibibist,AriBargar,0.5451021302217572
gili_zur,AriBargar,0.5451384887118338
tamim1379487781,ilan97933576,0.5451551492129911
ziporaortal,tami2759721463,0.5451944705879834
wtf25986999,SvetkaIL,0.545306956511741
slinkysown68849,Az291058,0.5454266788663841
duct_pure,Ha_Drakon,0.5454785978311699
anibibist,Ah56015457,0.5456203563893772
ilan97933576,FrazzleUnicorn,0.5456336188323343
selectivit,BendavidDudi,0.5461423162074936
slinkysown68849,LakersssLa,0.5465655093969933
mHtUq817Q1VAYag,NatiFrid,0.5466986141881905
SvetkaIL,NatiFrid,0.5470931305838791
lion7053,Ha_Drakon,0.5471229496915182
tamim1379487781,Ilana80028045,0.5471902353750391
tamim1379487781,lion7053,0.547378820494659
levyalbertino,Meir1973782,0.547496230875918
ptrywt21,duct_pure,0.5477508518736546
wtf25986999,1Ycmeired,0.5477532550326109
YahavYonatan,Nilsagar23,0.5477735829877045
danidin090,MyWyzmn8996,0.5478094663364972
SwmrwnWry38466,AmirLevy3,0.547815395719223
wtf25986999,babusha110,0.5479929811416026
edihoo2,InbalShaky,0.5480184508422163
hotbot699,KingDavid1711,0.5480441766887916
yossibeber1,KingDavid1711,0.5482203315997535
NatiFrid,70SKsJcTocTNevL,0.5483419137261188
selectivit,KingDavid1711,0.5488406515630601
moshenatania,NatiFrid,0.5490012741193803
edihoo2,OFgSTCH7IvIILSB,0.5491920748443369
levyalbertino,AmnonShulman,0.5493574621800017
gl_xllk,FrazzleUnicorn,0.5494243039293092
danidin090,SwmrwnWry38466,0.5496103532556326
slinkysown68849,SvetkaIL,0.5497570189613513
danidin090,BendavidDudi,0.5500853732628512
igal80448046748,AmnonShulman,0.5500864830923223
tami2759721463,Meir1973782,0.5502782341283217
lion7053,InbalShaky,0.5511631663054247
ptrywt21,ZaguriMor13184,0.5512477019084715
naorlyn,AriBargar,0.5514491543191896
NatiFrid,DoronLavi3,0.5515539930022995
wtf25986999,elizipori,0.551766364019972
shogokipppp,NatiFrid,0.5518791305925351
levyalbertino,BendavidDudi,0.55188021171414
naorlyn,Ah56015457,0.5518970265505766
EpsteinBarr7,BendavidDudi,0.5519155727733646
MyWyzmn8996,Ilana80028045,0.5523019282751165
thefardude,AmnonShulman,0.5524333607716586
moshenatania,NataniaMoshe,0.5524419063671763
Meir1973782,LakersssLa,0.5525155788178482
SvetkaIL,Ah56015457,0.5526180545844283
thefardude,BendavidDudi,0.5526247691925444
duct_pure,SwmrwnWry38466,0.5526967778679898
selectivit,edihoo2,0.5533804848077375
OrwellTruth1984,NatiFrid,0.5537858045009756
slinkysown68849,paXqueville,0.5539540900115691
tamim1379487781,tami2759721463,0.5540883941615207
Nobleinopal,DanielOriii,0.554125413796447
mHtUq817Q1VAYag,Nobleinopal,0.5542629396525112
wtf25986999,OrwellTruth1984,0.554360397814437
